STCTNAME,FIELD_NAME,API_CRUDE,SRC,CRN,SU100,POUR_POINT,CAR_CR_WT,LT_GAS_VOL,GAS_NP_VOL,RESDUM_VOL,TIPO_CRUDO,CLASE_AZUFRE
WYOMING,TORCHLIGHT,46.3,0.0,0.0,0.0,0.0,0.0,13.0,42.0,31.5,Liviano,Dulce (sweet) < 0.5%S
WYOMING,THORNTON,40.6,0.08,0.0,0.0,0.0,0.0,0.0,23.1,24.0,Liviano,Dulce (sweet) < 0.5%S
LOUISIANA,HAYNESVILLE,35.0,0.42,0.0,0.0,0.0,0.0,4.5,20.9,27.1,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,LYONS-QUINN,39.4,0.0,0.0,0.0,0.0,0.0,7.0,31.0,25.1,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,SLICK,30.4,0.49,0.0,72.0,5.0,0.0,8.2,23.1,38.6,Mediano,Dulce (sweet) < 0.5%S
OKLAHOMA,SLICK,26.6,0.53,0.0,120.0,10.0,0.0,1.0,13.5,41.3,Mediano,Agrio (sour) ≥ 0.5%S
OKLAHOMA,SLICK,32.1,0.46,0.0,63.0,5.0,0.0,7.8,23.3,37.3,Liviano,Dulce (sweet) < 0.5%S
TEXAS,IVAN,34.8,0.21,0.0,42.0,5.0,0.0,4.5,29.6,21.1,Liviano,Dulce (sweet) < 0.5%S
TEXAS,"BEND,S",36.6,0.29,0.0,40.0,5.0,0.0,6.5,32.7,17.9,Liviano,Dulce (sweet) < 0.5%S
TEXAS,"BEND,S",39.8,0.23,0.0,39.0,5.0,0.0,10.3,36.3,17.6,Liviano,Dulce (sweet) < 0.5%S
TEXAS,YOUNG COUNTY,39.4,0.19,0.0,39.0,5.0,0.0,8.6,34.4,16.9,Liviano,Dulce (sweet) < 0.5%S
TEXAS,CURRY,38.2,0.23,0.0,38.0,5.0,0.0,9.7,36.7,14.7,Liviano,Dulce (sweet) < 0.5%S
TEXAS,PIONEER,43.0,0.18,0.0,0.0,0.0,0.0,12.9,40.8,15.3,Liviano,Dulce (sweet) < 0.5%S
TEXAS,ELECTRA,38.8,0.35,0.0,41.0,5.0,0.0,11.8,35.8,19.2,Liviano,Dulce (sweet) < 0.5%S
TEXAS,ELECTRA,40.0,0.28,0.0,41.0,5.0,0.0,15.0,38.2,20.1,Liviano,Dulce (sweet) < 0.5%S
TEXAS,ELECTRA,40.4,0.38,0.0,38.0,5.0,0.0,15.3,38.8,20.0,Liviano,Dulce (sweet) < 0.5%S
TEXAS,ELECTRA,40.0,0.31,0.0,38.0,5.0,0.0,15.3,37.4,19.1,Liviano,Dulce (sweet) < 0.5%S
TEXAS,ELECTRA,40.2,0.35,0.0,0.0,0.0,0.0,11.8,35.9,22.3,Liviano,Dulce (sweet) < 0.5%S
TEXAS,TEXHOMA-GOSE,38.6,0.33,0.0,39.0,5.0,0.0,11.4,38.3,16.9,Liviano,Dulce (sweet) < 0.5%S
NEW MEXICO,HOGBACK,61.0,0.05,0.0,30.0,5.0,0.0,37.0,70.8,14.1,Liviano,Dulce (sweet) < 0.5%S
ILLINOIS,NEW HARMONY CONS.,39.2,0.2,0.0,39.0,0.0,1.9,12.6,34.6,21.1,Liviano,Dulce (sweet) < 0.5%S
WYOMING,ROCK CREEK,36.4,0.27,0.0,48.0,50.0,0.0,10.7,31.4,25.7,Liviano,Dulce (sweet) < 0.5%S
NEW YORK,ALLEGANY,39.4,0.1,0.0,0.0,5.0,0.0,5.3,30.0,21.6,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,MCKEAN COUNTY,40.4,0.1,0.0,0.0,5.0,0.0,7.8,32.5,21.0,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,VENANGO COUNTY,41.3,0.1,0.0,0.0,5.0,0.0,7.3,29.6,21.8,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,VENANGO COUNTY,38.6,0.08,0.0,0.0,5.0,0.0,4.8,24.4,24.4,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,FRANKLIN,32.5,0.09,0.0,0.0,5.0,0.0,0.0,6.0,37.3,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,ALLEGANY COUNTY,45.4,0.08,0.0,0.0,5.0,0.0,7.9,37.8,14.4,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,GREENE COUNTY,42.1,0.08,0.0,0.0,25.0,0.0,6.3,29.0,21.1,Liviano,Dulce (sweet) < 0.5%S
